eco	name	fen	moves	whiteWins	blackWins	draws
A01	Nimzo-Larsen Attack: Graz Attack	rnbqkbnr/ppp1pppp/8/3p4/8/BP6/P1PPPPPP/RN1QKBNR b KQkq -	b2b3 d7d5 c1a3	0	2	1
A01	Nimzo-Larsen Attack: Indian Variation	rnbqkb1r/pppppppp/5n2/8/8/1P6/P1PPPPPP/RNBQKBNR w KQkq -	b2b3 g8f6	1250	1012	965
A01	Nimzo-Larsen Attack: Modern Variation	r1bqkbnr/pppp1ppp/2n5/4p3/8/1P2P3/PBPP1PPP/RN1QKBNR b KQkq -	b2b3 e7e5 c1b2 b8c6 e2e3	1738	1627	1232
A01	Nimzo-Larsen Attack: Modern Variation	r1bqkbnr/pppp1ppp/2n5/4p3/8/1P6/PBPPPPPP/RN1QKBNR w KQkq -	b2b3 e7e5 c1b2 b8c6	2231	2180	1619
A01	Nimzo-Larsen Attack: Modern Variation	rnbqkbnr/pppp1ppp/8/4p3/8/1P6/P1PPPPPP/RNBQKBNR w KQkq -	b2b3 e7e5	2988	2901	2171
A01	Nimzo-Larsen Attack: Modern Variation	rnbqkbnr/pppp1ppp/8/4p3/8/1P6/PBPPPPPP/RN1QKBNR b KQkq -	b2b3 e7e5 c1b2	2926	2826	2135
A01	Nimzo-Larsen Attack: Pachman Gambit	r1bqkbnr/pppp1ppp/2n5/4p3/5P2/1P6/PBPPP1PP/RN1QKBNR b KQkq -	b2b3 e7e5 c1b2 b8c6 f2f4	0	0	0
A01	Nimzo-Larsen Attack: Ringelbach Gambit	rnbqkbnr/pppp2pp/4p3/5p2/4P3/1P6/PBPP1PPP/RN1QKBNR b KQkq -	b2b3 f7f5 c1b2 e7e6 e2e4	9	2	1
A01	Nimzo-Larsen Attack	rnbqkbnr/pppppppp/8/8/8/1P6/P1PPPPPP/RNBQKBNR b KQkq -	b2b3	7150	6604	5389
A01	Nimzo-Larsen Attack: Spike Variation	rnbqkb1r/pppppp1p/5np1/8/6P1/1P6/PBPPPP1P/RN1QKBNR b KQkq -	b2b3 g8f6 c1b2 g7g6 g2g4	9	16	11
A01	Nimzo-Larsen Attack: Symmetrical Variation	rnbqkbnr/p1pppppp/1p6/8/8/1P6/P1PPPPPP/RNBQKBNR w KQkq -	b2b3 b7b6	184	134	148
A01	Nimzowitsch-Larsen Attack: Polish Variation	rnbqkbnr/p1pppppp/8/1p6/8/1P6/P1PPPPPP/RNBQKBNR w KQkq -	b2b3 b7b5	21	16	7
A02	Bird Opening: Batavo-Polish Attack	rnbqkb1r/pppppp1p/5np1/8/1P3P2/5N2/P1PPP1PP/RNBQKB1R b KQkq -	f2f4 g8f6 g1f3 g7g6 b2b4	13	19	16
A02	Bird Opening: From's Gambit, Bahr Gambit	rnbqkbnr/pppp1ppp/8/4p3/5P2/2N5/PPPPP1PP/R1BQKBNR b KQkq -	f2f4 e7e5 b1c3	0	3	0
A02	Bird Opening: From's Gambit, Langheld Gambit	rnbqkb1r/ppp2ppp/3P1n2/8/8/8/PPPPP1PP/RNBQKBNR w KQkq -	f2f4 e7e5 f4e5 d7d6 e5d6 g8f6	2	4	1
A02	Bird Opening: From's Gambit, Lasker Variation	rnbqk1nr/ppp2p1p/3b4/6p1/8/5N2/PPPPP1PP/RNBQKB1R w KQkq -	f2f4 e7e5 f4e5 d7d6 e5d6 f8d6 g1f3 g7g5	340	300	125
A02	Bird Opening: From's Gambit, Lipke Variation	rnbqk2r/ppp2ppp/3b3n/8/3P4/5N2/PPP1P1PP/RNBQKB1R b KQkq -	f2f4 e7e5 f4e5 d7d6 e5d6 f8d6 g1f3 g8h6 d2d4	5	3	0
A02	Bird Opening: From's Gambit	rnbqkbnr/pppp1ppp/8/4p3/5P2/8/PPPPP1PP/RNBQKBNR w KQkq -	f2f4 e7e5	952	993	439
A02	Bird Opening: Hobbs Gambit	rnbqkbnr/pppppp1p/8/6p1/5P2/8/PPPPP1PP/RNBQKBNR w KQkq -	f2f4 g7g5	8	8	6
A02	Bird Opening: Hobbs-Zilbermints Gambit	rnbqkbnr/pppppp2/7p/6p1/5P2/5N2/PPPPP1PP/RNBQKB1R w KQkq -	f2f4 h7h6 g1f3 g7g5	0	0	0
A02	Bird Opening: Horsefly Defense	rnbqkb1r/pppppppp/7n/8/5P2/8/PPPPP1PP/RNBQKBNR w KQkq -	f2f4 g8h6	11	30	15
A02	Bird Opening: Lasker Gambit	rnbqkbnr/pppp2pp/5p2/4P3/8/8/PPPPP1PP/RNBQKBNR w KQkq -	f2f4 e7e5 f4e5 f7f6	2	0	2
A02	Bird Opening: Mujannah	rnbqkb1r/pppppppp/5n2/8/2P2P2/8/PP1PP1PP/RNBQKBNR b KQkq -	f2f4 g8f6 c2c4	3	9	2
A02	Bird Opening: Myers Defense	rnbqkbnr/p1pppppp/8/1p6/5P2/8/PPPPP1PP/RNBQKBNR w KQkq -	f2f4 b7b5	33	24	16
A02	Bird Opening: Platz Gambit	rnbqkb1r/ppppnppp/8/4P3/8/8/PPPPP1PP/RNBQKBNR w KQkq -	f2f4 e7e5 f4e5 g8e7	0	0	0
A02	Bird Opening	rnbqkb1r/pppppppp/5n2/8/5P2/8/PPPPP1PP/RNBQKBNR w KQkq -	f2f4 g8f6	1197	1396	857
A02	Bird Opening	rnbqkbnr/pppppppp/8/8/5P2/8/PPPPP1PP/RNBQKBNR b KQkq -	f2f4	7687	8751	5320
A02	Bird Opening: Schlechter Gambit	r1bqkbnr/pppp1ppp/2n5/4P3/8/8/PPPPP1PP/RNBQKBNR w KQkq -	f2f4 e7e5 f4e5 b8c6	37	83	22
A02	Bird Opening: Siegener Gambit	rnbqkbnr/pp1p1ppp/8/2p5/3p1P2/2P2N2/PP2P1PP/RNBQKB1R b KQkq -	f2f4 e7e5 d2d4 e5d4 g1f3 c7c5 c2c3	0	0	0
