eco	name	fen	moves	whiteWins	blackWins	draws
E60	King's Indian Defense: Santasiere Variation	rnbqk2r/ppppppbp/5np1/8/1PPP4/5N2/P3PPPP/RNBQKB1R b KQkq -	d2d4 g8f6 c2c4 g7g6 g1f3 f8g7 b2b4	15	7	12
E60	King's Indian Defense: Semi-Classical Variation, Benoni Variation	rnbq1rk1/pp2ppbp/2pp1np1/8/2PP4/2N1PN2/PP2BPPP/R1BQK2R w KQ -	c2c4 g8f6 g1f3 g7g6 d2d4 f8g7 b1c3 e8g8 e2e3 d7d6 f1e2 c7c6	0	0	0
E60	King's Indian Defense: Semi-Classical Variation, Hollywood Variation	r1bq1rk1/ppp1ppbp/2np1np1/8/2PP4/2N1PN2/PP2BPPP/R1BQK2R w KQ -	d2d4 g8f6 g1f3 g7g6 c2c4 f8g7 b1c3 e8g8 e2e3 d7d6 f1e2 b8c6	2	1	4
E60	Neo-Grünfeld Defense: Non- or Delayed Fianchetto	rnbqkb1r/ppp1pp1p/5np1/3p4/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq -	d2d4 g8f6 g1f3 g7g6 c2c4 d7d5	173	68	68
E60	Queen's Pawn, Mengarini Attack	rnbqkb1r/pppppp1p/5np1/8/2PP4/8/PPQ1PPPP/RNB1KBNR b KQkq -	d2d4 g8f6 c2c4 g7g6 d1c2	3	6	2
E61	King's Indian Defense	rnbqkb1r/pppppp1p/5np1/8/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq -	d2d4 g8f6 c2c4 g7g6 b1c3	64378	47000	50088
E61	King's Indian Defense: Semi-Classical Variation, Queenside Storm Line	r1bq1rk1/pppn1pbp/3p1np1/4p3/1PPP4/2N1PN2/P3BPPP/R1BQ1RK1 b - -	d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 g1f3 e8g8 e2e3 d7d6 f1e2 b8d7 e1g1 e7e5 b2b4	3	5	6
E61	King's Indian Defense: Semi-Classical Variation	rnbq1rk1/ppp1ppbp/3p1np1/8/2PP4/2N1PN2/PP2BPPP/R1BQK2R b KQ -	d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 g1f3 e8g8 e2e3 d7d6 f1e2	35	59	28
E61	King's Indian Defense: Smyslov Variation	rnbqk2r/ppp1ppbp/3p1np1/6B1/2PP4/2N2N2/PP2PPPP/R2QKB1R b KQkq -	d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 g1f3 d7d6 c1g5	203	130	127
E62	King's Indian Defense: Fianchetto Variation, Delayed Fianchetto	rnbqk2r/ppp1ppbp/3p1np1/8/2PP4/2N2NP1/PP2PP1P/R1BQKB1R b KQkq -	d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 g1f3 d7d6 g2g3	233	136	164
