eco	name	fen	moves	whiteWins	blackWins	draws
D00	Blackmar-Diemer Gambit: Pietrowsky Defense	r1bqkb1r/ppp1pppp/2n2n2/8/3P4/2N2N2/PPP3PP/R1BQKB1R w KQkq -	d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 e4f3 g1f3 b8c6	13	10	5
D00	Blackmar-Diemer Gambit: Rasa-Studier Gambit	rnbqkb1r/ppp1pppp/5n2/8/3Pp3/2N1B3/PPP2PPP/R2QKBNR b KQkq -	d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 c1e3	2	4	1
D00	Blackmar-Diemer Gambit: Ritter Defense	rnbqkb1r/p1p1pppp/1p3n2/8/3P4/2N2N2/PPP3PP/R1BQKB1R w KQkq -	d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 e4f3 g1f3 b7b6	5	0	0
D00	Blackmar-Diemer Gambit	rnbqkb1r/ppp1pppp/5n2/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq -	d2d4 g8f6 b1c3 d7d5 e2e4	624	479	206
D00	Blackmar Gambit	rnbqkbnr/ppp1pppp/8/3p4/3PP3/8/PPP2PPP/RNBQKBNR b KQkq -	d2d4 d7d5 e2e4	2672	1139	519
D00	Blackmar-Diemer Gambit: Rook Pawn Defense	rnbqkb1r/ppp1ppp1/5n2/7p/3P4/2N2N2/PPP3PP/R1BQKB1R w KQkq -	d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 e4f3 g1f3 h7h5	0	0	0
D00	Blackmar-Diemer Gambit: Ryder Gambit	rnbqkb1r/ppp1pppp/5n2/8/3P4/2N2Q2/PPP3PP/R1B1KBNR b KQkq -	d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 e4f3 d1f3	262	96	17
D00	Blackmar-Diemer Gambit: Schlutter Defense	r1bqkb1r/pppnpppp/5n2/8/3P4/2N2N2/PPP3PP/R1BQKB1R w KQkq -	d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 e4f3 g1f3 b8d7	5	0	0
D00	Blackmar-Diemer Gambit: Tartakower Variation	rn1qkb1r/ppp1pppp/5n2/5b2/3P4/2N2N2/PPP3PP/R1BQKB1R w KQkq -	e2e4 d7d5 d2d4 d5e4 b1c3 g8f6 f2f3 e4f3 g1f3 c8f5	8	3	1
D00	Blackmar-Diemer Gambit: Teichmann Variation	rn1qkb1r/ppp1pppp/5n2/8/3P2b1/2N2N2/PPP3PP/R1BQKB1R w KQkq -	e2e4 d7d5 d2d4 d5e4 b1c3 g8f6 f2f3 e4f3 g1f3 c8g4	16	17	8
